OTU,5% Sheep Blood,5% Sheep Blood + Amp,5% Sheep Blood + Amp Kan Ery,5% Sheep Blood + Cip,5% Sheep Blood + Crb,5% Sheep Blood + Ery,5% Sheep Blood + Kan,5% Sheep Blood + Neo,5% Sheep Blood + Pen,5% Sheep Blood + Pen Crb Cip,5% Sheep Blood + Van,5% Sheep Blood + Van Amp Ery,A II,AA,BARN,BHI,BHI (strict anaerobes),BHI + Amp,BHI + Amp Kan Ery,BHI + Cip,BHI + Crb,BHI + Ery,BHI + FBS (5%),BHI + FBS (5%) + Amp,BHI + FBS (5%) + Amp Kan Ery,BHI + FBS (5%) + Cip,BHI + FBS (5%) + Crb,BHI + FBS (5%) + Ery,BHI + FBS (5%) + Kan,BHI + FBS (5%) + Neo,BHI + FBS (5%) + Pen,BHI + FBS (5%) + Pen Crb Cip,BHI + FBS (5%) + Van,BHI + FBS (5%) + Van Amp Ery,BHI + Kan,BHI + Neo,BHI + Pen,BHI + Pen Crb Cip,BHI + Van,BHI + Van Amp Ery,BMM - Azo-Galactomannon,BMM - chondroitin sulfate,BMM - Fructose,BMM - glucose,BMM - Inulin,BMM - Mannitol,BMM - Mucin,BMM - Pullulan,BMM - raffinose,BMM - Resistant Starch,BMM - Soluble Starch,BMM - Sorbitol,COR,LB,M-17 Broth,mGAM,mGAM + Amp,mGAM + Amp Kan Ery,mGAM + Cip,mGAM + Crb,mGAM + Ery,mGAM + Kan,mGAM + Pen,mGAM + Pen Crb Cip,mGAM + Van,mGAM + Van Amp Ery,MiPro,MiPro + Amp,MiPro + Amp Kan Ery,MiPro + Cip,MiPro + Crb,MiPro + Ery,MiPro + Kan,MiPro + Neo,MiPro + Pen,MiPro + Pen Crb Cip,MiPro + Van,MiPro + Van Amp Ery,mOs-SRB,MRS,MT10,Mucus,Mucus + Amp,Mucus + Amp Kan Ery,Mucus + Cip,Mucus + Crb,Mucus + Ery,Mucus + Kan,Mucus + Neo,Mucus + Pen,Mucus + Pen Crb Cip,Mucus + Van,Mucus + Van Amp Ery,NCMM - Mannitol,NCMM - Mucin,Postgate,Postgate + Amp,Postgate + Amp Kan Ery,Postgate + Cip,Postgate + Crb,Postgate + Ery,Postgate + Kan,Postgate + Neo,Postgate + Pen,Postgate + Van,Postgate + Van Amp Ery,PYG,R2A - Azo-Galactomannon,R2A - chondroitin sulfate,R2A - Fructose,R2A - glucose,R2A - Inulin,R2A - Mannitol,R2A - Mucin,R2A - Pullulan,R2A - raffinose,R2A - Resistant Starch,R2A - Soluble Starch,R2A - Sorbitol,Reinforced Clostridial Broth,TGB,TSB,WCA,WHC,WSB,YCFA,YCFA + Amp,YCFA + Cip,YCFA + Crb,YCFA + Ery,YCFA + Kan,YCFA + Neo,YCFA + Pen,YCFA + Pen Crb Cip,YCFA + Van,YCFA + Van Amp Ery,Yeast Casitone
Otu1,176.332737187657,0.335601683511995,28.6404724372306,1.06810019843647,0.659012562162364,1.42865768660117,0.159462269698569,240.06736407795,1.56772969449527,6.25676276862925,135.022016213859,3.81292202956719,87.1057332245321,106.880546185131,86.5249410532821,95.6831861189757,232.089489642912,0.475517083368789,39.1529704069269,1.62230226535759,8.6196597417908,120.513954672694,204.478421116295,2.68251754934364,54.0124118315727,0.893482750462183,0.466911216740407,8.12118325724135,0.363820493265968,176.461283646981,3.43278541892358,4.42796846748957,338.244555346348,3.62251397519732,0.394180784070832,256.534341566241,56.9470575493,2.56116839605982,355.514300391483,3.36204912846546,365.482735845396,358.537301058389,299.465576609959,406.899758009137,131.215966086818,403.91585999667,126.193276780434,334.97815668573,159.508236317572,362.390465183188,326.58814291406,397.298325227408,254.270536674648,178.941411790225,203.646101995026,197.005237789125,1.85202520771864,23.1818855107657,14.5523517869269,8.44428339711144,1.63922984486199,0.362857725432171,14.9528585620676,2.68639876122078,329.668796276713,2.50122904132091,149.465663693042,2.62454793097428,75.7829385698019,22.536720023642,5.21659756088734,42.2918161357522,0.150438609769772,1.1445375877219,24.4101705999086,6.16931646863455,206.190836317244,10.4787359440254,351.659916622063,4.91829500355228,193.593021449977,298.582855115068,4.88043903127798,37.0902198335564,32.2403506918568,10.6508385256532,29.1904680622712,5.55152725798694,335.646586112269,118.046277406907,3.49197492769709,356.911391427192,5.57576108476673,288.959785194459,18.2574136794303,50.0541980696459,1.85504679564534,17.5747552657154,1.71507842153575,0.103346999542955,34.8906647445435,0.64904162301021,0.882877138056773,1.01249088229751,79.0578700723692,3.33151323228651,140.135181533961,219.506767822539,197.952496839534,134.222430889979,150.738102221714,154.698969735585,344.43351700047,82.9790992017732,204.912483593317,122.605343195099,124.316678379349,121.162333372211,189.191364770439,11.9072724913059,75.369600371053,111.093676721096,67.6839411924866,182.848985054079,106.303556039895,62.9810190160105,9.57642635325271,254.112218537057,38.9118025285207,3.52663702299968,0.282158485286532,1.00035109745314,4.78675495801614,2.53554044729154,200.932569223262,4.29263336026431,187.124174930519
Otu100,0.168964751705941,1e-05,0.0818029501900978,1e-05,1e-05,1e-05,1e-05,0.0430652871088241,1e-05,1e-05,1e-05,1e-05,0.383036621583591,0.530837716069447,1e-05,0.0145652681363878,0.727244716417286,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00418102849790942,0.110369411072734,1e-05,0.0268654140663825,1e-05,1e-05,1e-05,0.0253311173782901,1e-05,1e-05,1e-05,0.100534270160106,0.0024151420995182,0.0143665062895485,1e-05,1e-05,1e-05,1e-05,0.217980931123707,1e-05,1e-05,1e-05,1e-05,1e-05,0.0651679413095875,1.34716859126982,0.0158552894556744,0.23025726716705,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.134744124916772,1e-05,0.000820033956267713,0.0538952764573742,0.00386573677139674,1e-05,1e-05,1e-05,1e-05,0.0618436007879963,0.00459223630999063,1e-05,0.111306669901842,1e-05,1e-05,1e-05,0.00711994192711692,1e-05,0.521143730963232,1.27430971432053,1e-05,1e-05,1e-05,1e-05,0.0700586145625997,1e-05,0.223100310711683,0.0447806051150404,1e-05,1e-05,1e-05,0.0458887865689559,1e-05,1e-05,0.0347040710228487,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00291664626151439,0.0045402888836236,0.0138145417735912,0.00531546506225593,1e-05,1e-05,0.0145350392403117,1e-05,0.00450695250119336,0.00367682702968868,0.00197645084250467,0.00206535665877561,0.0726412952011018,1e-05,0.00729996622643365,0.078016294985127,2.02581028228642,1.732889384825,1.20143072847741,0.000687071266211289,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.112718642959222,0.0296202859713795
Otu101,0.00915941073523126,1e-05,1e-05,0.0171823460460044,1e-05,1e-05,1e-05,1e-05,1e-05,0.14702249708136,0.00654339607907179,0.024722899872541,1.18871958368423,0.223632053483774,0.49706149117309,0.0284244719172953,0.302674930003688,1e-05,1e-05,1e-05,0.279686218758323,1e-05,1e-05,1e-05,1e-05,0.00145389383644577,1e-05,0.108817098869655,1e-05,1.10650596942431,0.0297900555367149,1e-05,0.000980055866220992,0.134742628703658,0.00726012194054731,0.0906295248156727,0.0253269333109234,0.110335095441264,1e-05,0.174395601745993,0.0157106934435189,0.0934552779376868,0.653634500571072,0.00520563781264367,0.00299852666868382,0.010418939841458,0.850790084633253,0.0637481565581132,0.00673687489006145,0.0269807190333076,0.0175547798658368,0.00313907235353717,0.056523026034474,0.123061071605346,0.0618839592451437,0.0259343411641993,0.196138660186146,1e-05,0.11189986121633,0.103685972935964,1e-05,1e-05,0.0525912816551438,0.0875393723344402,0.00106687735705225,1e-05,0.00319957086642138,0.0452773547883734,0.104912278012198,0.116426853128922,0.321823438311733,0.0804595186028516,1e-05,1e-05,0.0804509813956998,0.4314649627498,0.00797612374743526,0.211380978528884,0.0231578972050767,0.0221124841111438,0.27120654801416,0.929766796126804,1e-05,0.266307684126297,0.0364852694345027,0.215708682976513,1e-05,0.00659982360466694,0.0537513129634513,1e-05,1e-05,0.00265507033213296,0.304120567535933,0.358212293226352,0.202938267064891,0.0298858183860688,0.0161251979213873,0.195921452367557,1e-05,1e-05,0.125849956006255,1e-05,0.00434888698625657,0.00881324456948807,0.00471608379605337,1e-05,0.0151784146554289,2.02019017340397,2.40837407803516,0.186718647919427,0.249866063706098,2.30849069450095,1.7350218292836,0.354827660424997,2.19103845881325,0.882576240793808,1.47855172968147,1.41339472161396,1.19995876941997,0.0185788470977058,0.0158289556481196,1.25272928367562,1.10216490818841,1e-05,0.146752116965068,0.215427673221156,0.158055751775971,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0716070176016879,1e-05,0.0293297532307532,0.0886338766738936
Otu102,1e-05,1e-05,1e-05,0.00316205261092526,0.00491893723936918,0.0189128838038121,1e-05,1e-05,0.042383753845697,0.0135282128970093,1e-05,0.0682460153133087,0.00587778389633979,1e-05,1e-05,1e-05,0.00131577192241197,0.0030892126906816,1e-05,1e-05,0.05147041829426,0.0396714266265769,1e-05,1e-05,1e-05,0.000802676559283456,0.00636110435040481,0.0184850941599017,1e-05,1e-05,0.00274111936278291,0.0385934924398054,1e-05,0.0247965720021344,1e-05,1e-05,0.0209740235266193,0.0826698453580106,1e-05,0.0722112189631303,1e-05,0.0103190974556002,1e-05,0.00287396737202176,0.00165544898052712,1e-05,0.156570179721732,0.00879863950242387,0.00185967208248748,1e-05,1e-05,0.00173304249107945,0.0780141350770027,0.00205880226627055,1e-05,0.0139258872012671,0.00676785595318787,0.351404426836484,0.00561622822381305,0.0095406209536425,0.0676544508029737,1e-05,0.0193566581681346,0.0966587799271721,1e-05,0.0516154820062044,1e-05,1e-05,1e-05,1e-05,0.0355349371027434,1e-05,1e-05,1e-05,1e-05,0.0204176911331738,1e-05,0.0583503940557021,0.00639259235538558,1e-05,0.199639646635478,1e-05,1e-05,1e-05,0.0402861196603041,1e-05,1e-05,1e-05,1e-05,1e-05,0.0597575387680682,0.000732915521556226,0.0335802305007131,0.0659215053654043,0.261425903574376,0.000824979282261188,0.00534151176413768,1e-05,1e-05,1e-05,0.0405301066915222,0.00746531531296584,1e-05,0.00486568183303813,1e-05,1e-05,1e-05,1e-05,0.0283503866549167,0.0114538916199467,1e-05,0.00191941079868744,1e-05,0.0783583611042177,0.00215815319095867,0.00132048584680412,0.00283926912346756,0.000988995571269965,0.0395275771135914,0.00170952475919152,1e-05,1e-05,1e-05,1e-05,0.0056525584123027,0.000987011763623394,0.0436302994861856,1e-05,0.113993811067583,0.048202186436786,1e-05,1e-05,0.0356025788363236,0.0395333366634137,0.0106285670730098,0.0161925890444972,0.0319132513613041
Otu103,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0606085557941946,1e-05,0.0305753055361994,0.00405129403315102,1e-05,0.0341514390869474,1e-05,1e-05,1e-05,1e-05,1e-05,0.086473387394756,0.0266601497082855,1e-05,1e-05,1e-05,0.000899029816399074,1e-05,0.0465840990210872,1e-05,1e-05,1e-05,0.0216131267451804,1e-05,0.0277731513603761,1e-05,1e-05,1e-05,0.0682268114152186,0.0025613845848466,0.121319175530048,0.00777189172302033,0.0231156028754447,1e-05,1e-05,1e-05,0.00214755193672133,1e-05,1e-05,0.00416581406681091,1e-05,1e-05,1e-05,0.157282106849312,1e-05,1e-05,0.0145577133873998,0.0758026906932659,0.0562267140012959,1e-05,0.117544643176544,0.043300393116375,1e-05,0.0108401152604559,0.0270654238516876,0.000659714299893994,1e-05,1e-05,0.0062217124099633,1e-05,0.0239979035994124,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00715995884657059,1e-05,0.223604380599941,1e-05,1e-05,0.164674023896419,1e-05,0.0666928123604072,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0836592734197206,1e-05,1e-05,1e-05,1e-05,0.0101518885697005,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0412796354879914,1e-05,0.00551811368662257,1e-05,0.00292334639409233,0.175528990306492,0.0012086089001781,0.0044369907206571,1e-05,1e-05,0.0389597697678288,0.00191473603235357,1e-05,1e-05,1e-05,1e-05,0.00515866695514174,1e-05,0.0977353572440632,1e-05,1e-05,0.0179961248903638,0.011670204627098,1e-05,0.119628932268036,1e-05,1e-05,0.0181363466857628,0.0357441165812329
Otu104,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00217207030594286,1e-05,1e-05,1e-05,0.00158024432516024,0.00742029943109572,1e-05,1e-05,0.0618160602439595,0.0571745413287798,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00839661268774722,0.0156768355914557,1e-05,1e-05,1e-05,0.0123932536613911,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0936951094166298,1e-05,1e-05,0.00780500667501641,0.0406410327707942,1e-05,0.00674509968507037,0.126041322588398,0.278582094572619,1e-05,0.116236897532323,0.232174719425276,1e-05,0.108482993516912,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00307100573301274,1e-05,0.29970944555345,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.011917101970752,1e-05,1e-05,1e-05,1e-05,0.188217050925986,1e-05,1e-05,1e-05,1e-05,0.0227868900463847,1e-05,1e-05,1e-05,1e-05,1e-05,0.00301721435709819,1e-05,1e-05,1e-05,0.068453380853698,0.0578909082034646,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0153311477474509
Otu105,1e-05,0.00754730173413314,0.070624099202939,1e-05,1e-05,1e-05,1e-05,1e-05,0.00727771068557948,0.0650419912696319,1e-05,0.0492177728794099,0.00516282347223806,1e-05,1e-05,1e-05,0.0015815175763028,0.0297051127724,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00289437796544403,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0504202685710618,0.0836771567837391,1e-05,0.0144659458136549,0.00417019764762017,0.037209717853753,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00223526892048448,1e-05,1e-05,1e-05,0.0375082409717845,1e-05,1e-05,0.0133907921269768,0.00813475569856469,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0290452237114512,1e-05,1e-05,1e-05,0.0400609345279686,0.139237945335069,0.0257533184209606,0.213559533546603,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00153674006808846,1e-05,0.329946023673618,1e-05,0.00409128525805656,1e-05,1e-05,1e-05,1e-05,0.0350367333814205,1e-05,1e-05,0.0359133662409561,1e-05,0.0807248184105104,1e-05,0.0448894191594516,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.000783966377207382,0.015334333642257,0.00458907571174567,0.017765269153527,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0361083127217086,1e-05,0.00420158879971676,1e-05,1e-05,1e-05,0.00452946812836051,1e-05,1e-05,1e-05,0.0685085358344791,1e-05,1e-05,1e-05,0.0570576133368526,0.0950357211886284,1e-05,0.097314981964262,0.0281297509564256
Otu106,0.740823273027115,0.0124309918844871,0.232646748458583,0.0250401289455465,1e-05,195.719613560383,1.16951227309897,0.052490242854605,1e-05,1e-05,0.0143037057736225,1e-05,0.0313289460480985,0.0287561333588527,1e-05,1e-05,0.104195289117863,0.0611582835842278,1e-05,1e-05,1e-05,0.31415594881345,0.860689417331567,1e-05,1e-05,0.00317817680777678,0.0125933130128727,0.365956230246803,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.12607251497137,0.110728128895109,1e-05,1e-05,0.0953061432261019,0.0961609498554373,1e-05,1e-05,0.0284484962916463,0.0786564824227443,1e-05,1e-05,0.069675965202111,29.4238382703982,0.353875200537718,0.383743247523633,0.00343096817039062,0.123557969602018,0.244553209089615,0.931907120741337,0.137814813925489,0.455551521793473,1e-05,0.0889492340677695,0.264430871029879,0.382680036467759,0.0975526003360152,0.383210904532617,0.191358953416288,1e-05,0.306555223153854,0.473775426050648,1e-05,0.229335705586668,1e-05,1e-05,0.615588974603249,0.130602728042208,0.67545982501819,0.105518341226243,1e-05,0.00871780692461924,1e-05,0.00506226039130736,1e-05,0.395233975323779,0.0244873223841906,0.040431986660884,1e-05,1e-05,1e-05,0.996229894009061,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0652536183668702,1e-05,0.0195989031306913,1e-05,1e-05,0.0280270879931141,1e-05,0.229254136611396,0.206911042825423,0.33272966667243,0.0385310794913139,1e-05,1e-05,1e-05,0.038737604574763,0.0617389372765873,0.0151171279324927,1e-05,1e-05,1e-05,1e-05,0.0128177265297069,1e-05,1e-05,0.00195795102725441,0.0688636986526112,1e-05,1e-05,0.443755080052663,0.0190458961785879,1e-05,0.0671434708394414,0.122527701058486,1e-05,2.93222058962889,1e-05,0.636184314614768,1e-05,1e-05,1e-05,0.156531210815293,1e-05,0.192342396313487,0.328535175005301
Otu107,0.00619902997773296,0.00769744548685797,1e-05,0.00387630024484951,1e-05,0.0185479560627741,1e-05,1e-05,0.00494832751666457,0.00829198963734335,1e-05,0.0669291952840906,0.00803686330514883,1e-05,0.0747573342538427,1e-05,0.00161297981171767,0.0340830645294026,1e-05,1e-05,0.0315483041533211,0.233435752786362,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00224019077996049,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0106677256244625,1e-05,0.0590149079705449,1e-05,1e-05,1e-05,1e-05,1e-05,0.00470098075668864,1e-05,0.0107860850701052,1e-05,1e-05,1e-05,0.00318675581612484,0.019127209323201,0.00504769319856827,1e-05,0.0182095793621339,0.0414829304196362,1e-05,0.0103272412817605,0.011695666040104,0.0236960875446741,1e-05,1e-05,1e-05,0.00144411139757986,1e-05,1e-05,0.0204289473605525,1e-05,0.0262656471987214,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.336509870719371,1e-05,0.00417267605754378,1e-05,1e-05,0.0364975605659128,1e-05,1e-05,1e-05,1e-05,0.109883447870821,1e-05,0.020582683422514,0.0202029803762494,0.274694614649284,1e-05,0.00218268594347589,1e-05,1e-05,1e-05,0.170348873422248,1e-05,0.0147164930020449,1e-05,0.00106393834255384,1e-05,1e-05,1e-05,0.026065650446248,0.00468036940493191,1e-05,0.00235296924637247,1e-05,0.048029013382767,0.00132281950553756,1e-05,1e-05,1e-05,0.0290736636666309,1e-05,1e-05,0.00180775923529327,1e-05,1e-05,0.00436293289473976,1e-05,1e-05,1e-05,1e-05,0.13787700485979,1e-05,1e-05,1e-05,1e-05,1e-05,0.0992509369721801,0.0260812325172054
Otu108,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00450681958849737,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0320654711807634,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00227691392048003,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00542130009450103,1e-05,1e-05,1e-05,0.0514294203217597,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00695132429961105,1e-05,1e-05,1e-05,0.116644554269703,1e-05,1e-05,0.0104107986571834,0.0252977726485707,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.155466468601674,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00453994024874932,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0465329409717272,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0158957646496006,1e-05,0.0122771354786526,1e-05,1e-05,0.0488163464185281,1e-05,0.00164529460876853,1e-05,0.000616132723211155,0.0334902994851852,1e-05,1e-05,0.00183739358475004,1e-05,1e-05,0.00469530408272039,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0291596564472172
