OTU,5% Sheep Blood + Amp,5% Sheep Blood + Amp Kan Ery,5% Sheep Blood + Cip,5% Sheep Blood + Crb,5% Sheep Blood + Ery,5% Sheep Blood + Kan,5% Sheep Blood + NA,5% Sheep Blood + Neo,5% Sheep Blood + Pen,5% Sheep Blood + Pen Crb Cip,5% Sheep Blood + Van,5% Sheep Blood + Van Amp Ery,A II + NA,AA + NA,BARN + NA,BHI (strict anaerobes) + NA,BHI + Amp,BHI + Amp Kan Ery,BHI + Cip,BHI + Crb,BHI + Ery,BHI + FBS (5%) + Amp,BHI + FBS (5%) + Amp Kan Ery,BHI + FBS (5%) + Cip,BHI + FBS (5%) + Crb,BHI + FBS (5%) + Ery,BHI + FBS (5%) + Kan,BHI + FBS (5%) + NA,BHI + FBS (5%) + Neo,BHI + FBS (5%) + Pen,BHI + FBS (5%) + Pen Crb Cip,BHI + FBS (5%) + Van,BHI + FBS (5%) + Van Amp Ery,BHI + Kan,BHI + NA,BHI + Neo,BHI + Pen,BHI + Pen Crb Cip,BHI + Van,BHI + Van Amp Ery,BMM - Azo-Galactomannon + NA,BMM - chondroitin sulfate + NA,BMM - Fructose + NA,BMM - glucose + NA,BMM - Inulin + NA,BMM - Mannitol + NA,BMM - Mucin + NA,BMM - Pullulan + NA,BMM - raffinose + NA,BMM - Resistant Starch + NA,BMM - Soluble Starch + NA,BMM - Sorbitol + NA,COR + NA,LB + NA,M-17 Broth + NA,mGAM + Amp,mGAM + Amp Kan Ery,mGAM + Cip,mGAM + Crb,mGAM + Ery,mGAM + Kan,mGAM + NA,mGAM + Pen,mGAM + Pen Crb Cip,mGAM + Van,mGAM + Van Amp Ery,MiPro + Amp,MiPro + Amp Kan Ery,MiPro + Cip,MiPro + Crb,MiPro + Ery,MiPro + Kan,MiPro + NA,MiPro + Neo,MiPro + Pen,MiPro + Pen Crb Cip,MiPro + Van,MiPro + Van Amp Ery,mOs-SRB + NA,MRS + NA,MT10 + NA,Mucus + Amp,Mucus + Amp Kan Ery,Mucus + Cip,Mucus + Crb,Mucus + Ery,Mucus + Kan,Mucus + NA,Mucus + Neo,Mucus + Pen,Mucus + Pen Crb Cip,Mucus + Van,Mucus + Van Amp Ery,NCMM - Mannitol + NA,NCMM - Mucin + NA,Postgate + Amp,Postgate + Amp Kan Ery,Postgate + Cip,Postgate + Crb,Postgate + Ery,Postgate + Kan,Postgate + NA,Postgate + Neo,Postgate + Pen,Postgate + Van,Postgate + Van Amp Ery,PYG + NA,R2A - Azo-Galactomannon + NA,R2A - chondroitin sulfate + NA,R2A - Fructose + NA,R2A - glucose + NA,R2A - Inulin + NA,R2A - Mannitol + NA,R2A - Mucin + NA,R2A - Pullulan + NA,R2A - raffinose + NA,R2A - Resistant Starch + NA,R2A - Soluble Starch + NA,R2A - Sorbitol + NA,Reinforced Clostridial Broth + NA,TGB + NA,TSB + NA,WCA + NA,WHC + NA,WSB + NA,YCFA + Amp,YCFA + Cip,YCFA + Crb,YCFA + Ery,YCFA + Kan,YCFA + NA,YCFA + Neo,YCFA + Pen,YCFA + Pen Crb Cip,YCFA + Van,YCFA + Van Amp Ery,Yeast Casitone + NA
Otu1,1e-05,0.0685783035893323,0.0025575171580265,0.00157797549101897,0.00342085560116696,1e-05,0.42222068822697,0.574830342331473,0.00375385717434428,0.0149815327793167,0.323304053012791,0.00912986771008012,0.208570701148006,0.255920587907253,0.207180020811655,0.555727686249152,0.00113860394505182,0.09375,0.00388452870360933,0.0206393816968207,0.288565162058975,0.00642316579399233,0.12933025404157,0.00213940365150457,0.00111799759033529,0.019445802513918,1e-05,0.489614243323442,0.422528486854669,0.00821964795210402,0.010602568324004,0.809911144266848,0.00867394431750867,1e-05,0.229109020475927,0.614259768080846,0.136357129223134,0.00613260078699235,0.851262760278463,0.00805027313426706,0.875131723835798,0.85850119735174,0.717056650246305,0.974302892395814,0.314190639759553,0.96715808484325,0.302164039540476,0.802089901810648,0.38193518906363,0.867727422921485,0.782000396904148,0.951312699980483,0.608839190628328,0.428467040456417,0.487621293189444,0.00443458980044346,0.0555079664211067,0.0348449419250968,0.020219451046788,0.00392506101985619,1e-05,0.471720047055816,0.0358039371119038,0.00643245917862444,0.789376880725093,0.00598907873877048,0.00628436018957346,0.181458786321407,0.0539631471190407,0.0124909046810575,0.10126582278481,1e-05,0.357888707436197,0.00274054299670567,0.0584490389862366,0.0147721466065871,0.493714543336965,0.0250908547816996,0.842033614325357,0.011776632827364,0.463549650826094,0.0116859884301745,0.0888108379327647,0.0771980477074311,0.0255029465555781,0.0698952430018891,0.0132928785486017,0.714943013929928,0.803690425553463,0.282656421514819,0.00836137452839808,0.854608030975333,0.0133509053403621,0.691901012373453,0.0437165434616365,0.00444182485477481,0.0420819490586932,0.00410667697362064,1e-05,0.0835441036990199,0.00155410053247051,0.119852491912059,0.00211400899682899,0.00242436318953206,0.189300460278062,0.00797715632506912,0.335547293915779,0.525598933349953,0.473988215602233,0.321389482462084,0.360935503396328,0.370419619813706,0.824730330373128,0.198689664393636,0.490653586106324,0.293572896387627,0.297670610350474,0.290117675251408,0.453010084877001,0.028511420320294,0.180469066876625,0.266008736613254,0.162066106884013,0.437823546225426,0.2545390113486,0.0229303156640858,0.608460105076329,0.0931725345263567,0.00844437133300433,1e-05,0.150805174457629,0.00239529502899836,0.0114616661941598,0.00607123583378305,0.481123862861454,0.0102785145888594,0.448060293188699
Otu100,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00130122811148427,1e-05,0.00178267527020777,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00330227786911738,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00105914316852656,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00127746550843127,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0031236808780076,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00496581385995584,0.00424778480007622,0.00294503459451118,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu101,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00223969263053944,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00208479215736202,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00123152709359606,1e-05,1e-05,1e-05,0.00160299225220411,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00175179400590967,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00380628459879312,0.00453767040452025,1e-05,1e-05,0.00434947793163983,0.00326899266926167,1e-05,0.00412818359921634,0.00166288124594419,0.00278577173144192,0.0026630079839612,0.00226086862680559,1e-05,1e-05,0.00236029470971898,0.00207661306870881,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu102,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00119924618811033,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu103,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu104,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu105,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu107,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu108,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Otu11,1e-05,0.01102867455384,0.00633444123106142,1e-05,1e-05,0.00910271095838106,0.0374141442032237,0.00713316241894134,1e-05,0.00196214219759926,1e-05,0.00135084777343022,0.0164354709295149,0.0048455256341938,0.0126951092611863,0.00724296022882905,1e-05,0.00248579545454545,0.954042514637765,0.0468997013876691,0.00159757385394384,1e-05,0.00846805234795997,1e-05,1e-05,0.00100935227971675,0.00418152748739392,0.013353115727003,0.00892800305557324,1e-05,1e-05,1e-05,1e-05,0.001573079816702,0.00598032740061053,0.040065819090641,0.0152462301966024,0.00377162372856188,1e-05,0.0108021522158788,1e-05,1e-05,0.00677339901477833,1e-05,1e-05,1e-05,0.0208388992786535,1e-05,1e-05,1e-05,1e-05,1e-05,0.00197018104366347,0.022912187513174,0.00735856145305678,1e-05,0.00908000685283536,0.00122666462222563,1e-05,0.0259251929546804,0.142616908869239,0.0215008414461164,0.00369929977539966,1e-05,1e-05,0.00127708296635547,1e-05,0.00355801541806681,0.0064346300087745,1e-05,1e-05,1e-05,1e-05,0.00413211405202772,0.00230400776086825,0.00125423886282343,1e-05,0.00243938865933191,1e-05,0.0720485508353355,0.00817577925396014,1e-05,1e-05,0.002543479755276,1e-05,0.00103039670273055,0.00247453959885102,0.00601519628535247,0.0073119847683863,0.00482985729967069,1e-05,1e-05,1e-05,0.00118110236220472,1e-05,1e-05,0.00479881875230712,0.102497825876896,1e-05,1e-05,0.00104455937428346,0.00227943148297131,0.174266447071934,1e-05,1e-05,0.00167701581833839,1e-05,0.00345014101060195,0.0316524279922985,0.00364830353885443,0.00516174591431838,0.105311079377972,0.00725057229640054,1e-05,0.07180682604917,0.362395450284808,0.0320581766033933,0.03226998648245,0.0099823555121488,0.0308625769376623,0.019570300384129,0.0237790884934375,0.107368282813359,1e-05,0.00109456404628606,0.00342465753424658,0.0690741863666341,0.058937949815211,0.00241267752371552,0.0014934660858743,0.0290946073502649,0.285977840972796,0.0363695273581467,0.00175391257420399,1e-05,0.0018788682581786,0.00614984716141352
